id;x;y;z;xVel;yVel;zVel;mass
sun;1.0;0.0;0.0;0.0;0.0;0.0;1.9885e+30
mercury;-9480392381.137032;-61357121252.323105;-31793754280.238777;42338.37343741417;-2492.20503771464;-5728.3321563593545;3.302e+23
venus;108190013192.16568;9643714328.929083;-2506397017.643104;-2947.6363757832846;34821.07170408885;15865.976913397311;4.8685e+24
earth;-24872925694.414654;133019325739.85576;57664412170.87818;-32825.884890371955;-5207.334306437175;-2260.322799212138;5.97237e+24
moon;-24482846502.935944;132942440562.12679;57593536529.43434;-32562.305251579284;-4256.055800348918;-1871.3780446624755;7.349e+22
mars;-197494621475.75153;-122386033959.32541;-50804774235.08526;15822.027481587727;-17864.572310460408;-8606.436146608989;6.4171e+23
phobos;-197495481683.45157;-122377884608.46127;-50800171442.005104;13756.012486012776;-18667.614868545534;-7949.5947991689045;1.08e+20
deimos;-197483298582.70398;-122401057395.30788;-50818804516.10911;16969.590128885906;-16914.07727419535;-8708.774862950642;1.8e+20
ceres;150718255585.77054;-357554630424.2989;-199282702280.14606;17499.050227661133;6433.090039774577;-589.1586122131348;9.3835e+20
jupiter;78685874857.77075;-714446418705.9397;-308147939289.381;14289.676605962117;2035.224137166341;691.6144223022461;1.89813e+27
io;78993409462.39975;-714708651783.0966;-308268201379.55554;26994.944764149983;14699.651495564778;6973.085886332194;8.931938e+22
europa;78019250171.69861;-714446974036.4218;-308163795873.96204;14515.290766906739;-11593.668902180989;-6112.4668150838215;4.799844e+22
ganymede;77701982533.39804;-714824794376.4493;-308343985495.9733;18939.894987487794;-7783.544520467122;-4196.025241394043;1.482e+23
callisto ;80199877375.20409;-715451577786.8773;-308599424865.2392;19464.310044250487;8712.003963012696;3773.2332509358725;1.076e+23
saturn ;568033455586.8021;-1275447329249.3782;-551291361629.8547;8962.01918721517;3836.0827559407553;882.924502360026;5.6834e+26
mimas;567868477832.6779;-1275357783774.5032;-551288048932.481;2143.1012176513673;-9805.021422932943;3160.108353068034;3.75e+19
tethys;568166790218.3235;-1275186144924.334;-551318847185.0707;-1539.9840804036457;9443.100356852214;2245.668069864909;6.17449e+20
dione;567949735060.0994;-1275812920932.796;-551257089362.6255;19815.683861897785;1435.4373295084636;153.6847627766927;1.09572e+21
rhea;567559275765.4279;-1275216755092.281;-551270027585.2212;5541.759330037435;-4463.002381998698;2193.3081471761066;2.309e+21
titan;566799674468.2725;-1275227396480.4192;-551196719414.5886;8425.361613769532;-1965.0518021647135;1693.2913975016277;1.34553e+23
hyperion;566434868895.5513;-1274974371842.6975;-551180307742.5306;7925.859506225586;-847.4881656901042;1706.9045334879556;1.08e+19
iapetus;566436415727.3484;-1278685438112.2659;-551566599219.7249;12282.183772989909;2406.8751216634114;316.2576963297526;1.8059e+21
phoebe;564799446601.4941;-1262533477494.911;-545212216966.1373;10824.217487792968;4376.098107096354;1226.7961747233073;8.289e+18
uranus;2427336269931.2124;1571757359623.3203;654065172963.8573;-4328.345423990885;5214.391405029297;2471.9360201009113;8.6813e+25
ariel;2427410613402.249;1571788662401.7048;653892141694.3069;-9992.3790625;7560.019107666016;-83.21464864095051;1.353e+21
umbriel;2427345299503.317;1571684439366.484;654320007826.0391;672.5611995442708;4443.92521077474;1558.5016044108072;1.172e+21
titania;2427226371543.2734;1571892436340.7751;653666213711.1611;-8114.348327636719;5768.936315104167;3590.095404663086;3.527e+21
oberon;2427903313610.589;1571652458704.1162;653985901534.7352;-4517.132133789062;6095.670240885417;-992.7540891520182;3.014e+21
miranda;2427452959836.0293;1571751743299.2256;654008115999.9326;-7462.723135579427;7193.813374023437;-4069.3961417643227;6.59e+19
neptune;4374657469942.438;-841622847985.5309;-453435110670.2172;1208.8496232096354;5045.990221354166;2594.80499806722;1.02413e+26
triton;4374359795212.224;-841750845691.9385;-453290775354.2005;2152.033505045573;7503.307829589844;6475.307800292969;2.147e+22
pluto;1941252386205.0645;-4282063623104.7393;-1921147913262.2856;5226.772261149089;1719.7552140299479;-1837.8044120279949;1.307e+22
charon;1941264595331.084;-4282050807057.7617;-1921139458000.1675;5253.898203125;1659.907108561198;-1864.6576668294272;1.53e+21
eris;12892125533696.32;6315075951559.286;-448118478231.9275;-341.09177734375;-167.080322265625;11.85603780110677;1.66e+22
voyager1;-4371295927895.1206;-21174480832779.49;4675201861829.298;2484.512898763021;-19072.76853515625;3930.4026774088543;721.9
voyager2;5068205801534.966;-8270007760802.716;-15579558038696.105;4604.903800455729;-2114.3246158854167;-16861.217294921877;825.5
